X,Y,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,cont_1,cont_2,cont_3,cont_4,cont_5,cont_6,cont_7,cont_8,cont_9
1,0.176406249728568,0,1,0,0,0,0,1,0,0,0,0,-1.38472727991746,-2.67526135708,0.224266158143024,-0.199834683699754,0.950433011119315,-0.114766148588223,1.6296663075173,0.342644296254993,1.99740620131231
1,0.160620314109524,1,1,1,0,1,0,1,0,1,0,0,1.22956773356819,0.218901292351623,0.172979356179657,-0.408659629837359,0.318110245651441,0.195612168509598,0.96275059622071,0.774310861390361,0.705555237638106
1,1.8278014399449,1,1,0,1,1,1,1,0,1,0,0,0.0999237469112658,-0.217295797210014,-0.349776446160566,0.681022138385213,-1.81716148488512,2.23556017112564,0.559678708640036,-0.209021977090733,2.63759225412723
0,-2.21186626842857,1,0,1,1,1,1,0,1,0,1,1,-0.587848139037605,0.556573688953252,-1.38313155997457,0.226701755447861,-0.827060266651919,-0.437447772488712,-0.0425866104580513,-1.19034426173481,1.06333324430589
1,-0.0159187914084117,1,1,1,1,1,0,0,1,0,1,0,0.759343848708566,0.21895298769234,1.63569375631366,-0.99851026679631,0.683149880519606,-0.0930011032905846,0.127169140854877,1.81429827474373,0.141300418080153
1,0.786885937621057,0,1,0,1,1,1,1,0,1,0,0,3.25806851425167,-0.568075917688766,0.354418819048431,-1.12717103471014,-0.487957528263327,1.16119402395067,2.16091718047098,-0.439785953349086,1.15844931164083
1,0.952985424771728,0,0,0,0,0,0,0,1,0,1,1,-0.54551298129764,1.87751729000378,2.43298015266256,-0.309907721277907,0.814906497898085,-0.644375110363042,-1.46888028499311,1.63291177656004,1.93270313955973
0,-0.601602033077738,1,1,1,1,0,0,1,1,0,1,0,0.379024683970208,-0.90685847944871,-1.3215228146083,-0.582876995878621,1.43613481619857,1.77822521989398,-0.00578065523510726,1.58705363683749,-0.637588039683945
0,0.384878566944237,0,0,1,1,0,0,1,1,0,1,0,0.850493839299286,-0.286736842684498,0.644771304273125,1.19393084062199,-0.0788306002998167,1.57225843545415,-0.186485156451444,-1.13913366916166,0.629032156170591
0,-0.303132135018113,1,0,0,1,0,0,1,0,0,0,0,0.108727092182539,0.862928706193784,-0.045722143962435,0.921267931954809,-0.16669129206973,-0.359008037641207,-1.14821644724349,0.545671324271601,0.551023619540446
1,-0.555987087842242,1,1,1,1,1,0,0,0,1,0,0,0.282102793470277,0.947484801857389,-1.96381767197075,-0.569514506431487,0.564698203428958,-1.3834961415512,-0.40565164156277,-1.3548531546132,0.906274077499472
1,-0.298008714783688,0,1,1,1,0,0,0,1,1,0,1,-1.12856542550155,1.03866812097905,0.957342411624665,-0.0949506843306424,1.39671103607506,-0.633277058700625,-0.790827621796149,-1.29758839410671,-0.647569842753639
0,-0.078717053411597,1,0,1,0,1,1,0,1,0,1,0,-0.847068589022236,-0.894433638867612,-0.0420513014866488,1.42838630255855,-2.23237147540411,0.320297707221304,0.074719701060681,-0.200608363341479,-0.0249501352983279
0,1.44129021190816,0,1,0,0,0,1,1,0,1,0,0,0.362760226588767,0.710331649818082,-0.0139989100884902,1.38592471791287,-1.51835892892279,1.24284379307017,-0.198786188847688,-0.900690807548924,-0.812977713411233
0,-1.62898260019123,1,0,0,0,1,1,0,0,1,1,1,2.36512948530087,0.134984835675748,-1.47373116328965,1.31475919524438,-0.267012925752703,-0.545740223847856,-0.92255601394583,-0.941876342133297,-0.287931583405142
0,-0.378011616725383,1,0,0,1,0,0,1,0,1,0,0,0.0211392344965347,1.28439927648429,0.95453161426538,0.162014693194376,0.702638621773496,0.673811125997764,-0.667775011536026,0.377512004529316,1.49069185528083
1,-0.780880851116865,0,0,1,1,0,1,1,0,1,0,0,1.83581052811073,1.50224810242524,1.2063561250234,-2.73736393289031,1.3523438666676,0.796545879451267,1.32966781703133,0.541870598693872,-0.0602818511284628
0,-0.795931250324117,0,1,0,1,0,1,0,0,1,0,0,-0.0427417487426251,-0.624316717812835,-0.650425191474733,1.96912977877276,1.20391650837303,0.634698057415613,1.8991765435368,1.57543664907925,-1.23492825332025
0,-0.249414253151266,1,0,1,0,0,1,1,0,1,0,1,1.00190074106475,1.41488621495681,1.41004933354229,-0.26858548979994,-0.773984608120597,1.00433633193602,0.391334613795595,0.0428319843207931,0.215660022844509
0,-0.0674681151195577,0,1,1,0,1,1,1,0,0,0,0,-0.96135928024181,0.444539858679187,0.304709496537269,0.04666204827988,0.155880178417407,-0.482632126267928,-1.41444991842891,-0.023636402697359,-0.426103975662921
1,-0.762274986527513,1,0,0,0,0,0,0,0,0,0,1,0.671995899743591,0.567618492869204,0.79256492545995,0.223644248038737,-1.67675564530505,-0.290496211536234,-1.62573301614769,1.76043894677917,-0.280567360045315
0,-1.22663622093267,0,0,1,0,1,1,0,1,0,1,1,0.444896615502993,-0.518575733284048,3.19058551576898,0.0389684814817142,-0.121031788135708,-0.0224651817963659,-1.15583477646409,0.514386924548971,-1.13302607320615
1,0.986923313654455,1,0,0,0,1,1,0,0,0,1,0,-1.42967103745284,0.49287291380021,0.172446748114293,-0.579599138647033,0.0572743276081794,-1.3787443755724,0.0483389865624484,0.203045149785638,1.04002474452772
